run_id,run_kind,negative_control_type,template,true_ipv_rad,true_ipv_source,counterpart_ipv_rad,intensity,seed_index,seed,n_steps,solver_mode,history_window,min_observation,persistent_k,frame_rows,run_status,reason_code,persistent_onset_step,persistent_concentration_any,run_estimate_ipv_log,signed_error_rad,abs_error_rad,zero_abs_error_rad,half_grid_success,one_grid_success,zero_half_grid_success,zero_one_grid_success,collision_any,opportunity_any,accepted_frame_count
interactive|clear_priority_crossing|t2|c0|weak|s2,interactive,,clear_priority_crossing,0.0,on_grid,-0.7853981633974483,weak,2,2026082802,16,exact,10,4,3,12,RECOVERED_READING,OK,4.0,True,0.002750606094066814,0.002750606094066814,0.002750606094066814,0.0,True,True,True,True,False,True,12.0
interactive|clear_priority_crossing|t2|c0|strong|s0,interactive,,clear_priority_crossing,0.0,on_grid,-0.7853981633974483,strong,0,2026082810,16,exact,10,4,3,12,RECOVERED_READING,OK,4.0,True,0.4540653788599846,0.4540653788599846,0.4540653788599846,0.0,False,False,True,True,False,True,12.0
interactive|clear_priority_crossing|t2|c0|strong|s1,interactive,,clear_priority_crossing,0.0,on_grid,-0.7853981633974483,strong,1,2026082811,16,exact,10,4,3,12,RECOVERED_READING,OK,4.0,True,0.09916121918311654,0.09916121918311654,0.09916121918311654,0.0,True,True,True,True,False,True,12.0
interactive|clear_priority_crossing|t2|c0|strong|s2,interactive,,clear_priority_crossing,0.0,on_grid,-0.7853981633974483,strong,2,2026082812,16,exact,10,4,3,12,RECOVERED_READING,OK,4.0,True,0.12208909759871951,0.12208909759871951,0.12208909759871951,0.0,True,True,True,True,False,True,12.0
interactive|clear_priority_crossing|t2|c1|weak|s0,interactive,,clear_priority_crossing,0.0,on_grid,0.7853981633974483,weak,0,2026082820,16,exact,10,4,3,12,RECOVERED_READING,OK,4.0,True,0.00036003413315780945,0.00036003413315780945,0.00036003413315780945,0.0,True,True,True,True,False,True,12.0
interactive|clear_priority_crossing|t2|c1|weak|s1,interactive,,clear_priority_crossing,0.0,on_grid,0.7853981633974483,weak,1,2026082821,16,exact,10,4,3,12,RECOVERED_READING,OK,4.0,True,-0.021088381432832357,-0.021088381432832357,0.021088381432832357,0.0,True,True,True,True,False,True,12.0
interactive|clear_priority_crossing|t2|c1|weak|s2,interactive,,clear_priority_crossing,0.0,on_grid,0.7853981633974483,weak,2,2026082822,16,exact,10,4,3,12,RECOVERED_READING,OK,4.0,True,0.0008923228049696579,0.0008923228049696579,0.0008923228049696579,0.0,True,True,True,True,False,True,12.0
interactive|clear_priority_crossing|t2|c1|strong|s0,interactive,,clear_priority_crossing,0.0,on_grid,0.7853981633974483,strong,0,2026082830,16,exact,10,4,3,12,RECOVERED_READING,OK,4.0,True,-0.0034531838187188673,-0.0034531838187188673,0.0034531838187188673,0.0,True,True,True,True,False,True,12.0
interactive|clear_priority_crossing|t2|c1|strong|s1,interactive,,clear_priority_crossing,0.0,on_grid,0.7853981633974483,strong,1,2026082831,16,exact,10,4,3,12,RECOVERED_READING,OK,4.0,True,-0.002790510150417958,-0.002790510150417958,0.002790510150417958,0.0,True,True,True,True,False,True,12.0
interactive|clear_priority_crossing|t2|c1|strong|s2,interactive,,clear_priority_crossing,0.0,on_grid,0.7853981633974483,strong,2,2026082832,16,exact,10,4,3,12,RECOVERED_READING,OK,4.0,True,-0.005870015518395067,-0.005870015518395067,0.005870015518395067,0.0,True,True,True,True,False,True,12.0
