case_key,unit_composite_key,anchor_frame_index,elapsed_time_s,target_ipv_future,pred_human_ipv_point,lo_90,hi_90,support_gate_pass,gate_category_pass,gate_distance_k25_mean,gate_distance_threshold,deviation_signed_exceedance_90,deviation_abs_exceedance_90,deviation_outside_90,deviation_upper_tail_90,deviation_lower_tail_90,abstention_reasons,gate_joint_cell,time_s,ego_x,ego_y,counterpart_x,counterpart_y,distance_m,closing_rate_mps,status,observed_future_ipv
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,66,4.303,0.0643759104451757,0.07201934,,,False,True,1.7789917,1.6072176694869995,,,False,False,False,distance_over_threshold;distance_feature_nan_any,F|priority|AV;HV,4.303,2.409633539859262,-31.94113338549016,-2.690399746687981,-11.63580145904831,20.936017867943956,3.378189273991833,abstain,0.0643759104451757
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,67,4.403,0.531390722594069,0.1081366,,,False,True,1.6559644,1.6072176694869995,,,False,False,False,distance_over_threshold;distance_feature_nan_any,F|priority|AV;HV,4.403,2.464849309967306,-32.62537305981198,-2.6229251880410427,-12.431042772674772,20.82537935041211,1.106328189087536,abstain,0.531390722594069
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,68,4.502,0.2260556740215976,0.09866663,,,False,True,1.7228655,1.6072176694869995,,,False,False,False,distance_over_threshold;distance_feature_nan_any,F|priority|AV;HV,4.502,2.5085283541545804,-33.17512794269064,-2.555462330673832,-13.22610149490231,20.581731167969984,2.4361477401428075,abstain,0.2260556740215976
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,69,4.593,0.0001269463404046,0.060213707,,,False,True,1.6615041,1.6072176694869995,,,False,False,False,distance_over_threshold;distance_feature_nan_any,F|priority|AV;HV,4.593,2.545181186125684,-33.630533181439546,-2.48801823914276,-14.02093151918777,20.24523582986156,3.364230204985513,abstain,0.0001269463404046
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,70,4.703,1.1147490539994245,0.08230651,-0.765194246645434,0.8873931263642145,True,True,1.033112,1.6072176694869995,0.22735592763520995,0.22735592763520995,True,True,False,,F|priority|AV;HV,4.703,2.597454985696861,-34.27000356415988,-2.42059649559635,-14.8154983469162,20.091257151225516,1.3996774309458837,upper,1.1147490539994245
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,71,4.803,0.1006742382649038,0.02104454,-0.618199298258288,0.6785206888871027,True,True,1.5694221,1.6072176694869995,0.0,0.0,False,False,False,,F|priority|AV;HV,4.803,2.6504523379139875,-34.90970216884932,-2.3532053675604137,-15.609704551290804,19.938066568033065,1.5317522502415004,in_band,0.1006742382649038
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,72,4.903,0.1799275224372563,0.06465921,-0.6057211850838495,0.6797849630074335,True,True,1.5688877,1.6072176694869995,0.0,0.0,False,False,False,,F|priority|AV;HV,4.903,2.696303367076135,-35.45939442201103,-2.285814417111467,-16.40390881878531,19.69601556635913,2.420084792839387,in_band,0.1799275224372563
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,73,5.003,0.0384795387359244,0.051922634,-0.6057211850838495,0.6797849630074335,True,True,1.4484653,1.6072176694869995,0.0,0.0,False,False,False,,F|priority|AV;HV,5.003,2.7465137080010456,-36.05395105690505,-2.2183990107446183,-17.198401451282024,19.49825913344248,1.9772661459680685,in_band,0.0384795387359244
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,74,5.103,0.1558828458127921,0.060463395,-0.7674879525856806,0.8873931263642145,True,True,1.401051,1.6072176694869995,0.0,0.0,False,False,False,,F|priority|AV;HV,5.103,2.7895311846998503,-36.55859889980647,-2.150975805146417,-17.99298617512278,19.211730405136773,2.8646168416763818,in_band,0.1558828458127921
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,75,5.202,-0.223570520813927,0.07314376,-0.7654393409447504,0.909896383162005,True,True,0.9504995,1.6072176694869995,0.0,0.0,False,False,False,,F|priority|AV;HV,5.202,2.8444789188721145,-37.20279811715983,-2.0835583869379186,-18.78750287017368,19.063280166884347,1.4843152783433944,in_band,-0.223570520813927
