case_key,perspective,elapsed_time_s,ego_px_anchor,ego_py_anchor,counterpart_px_anchor,counterpart_py_anchor,ego_local_x_m,ego_local_y_m,counterpart_local_x_m,counterpart_local_y_m,shown,origin_x_m,origin_y_m
ipv_004992,key_agent_1,4.8,-858.4796752929688,1302.379516601562,-917.076416015625,1385.628173828125,82.55841064453125,-114.59759521484443,23.961669921875,-31.348937988281477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,4.9,-859.1243286132812,1303.331665039062,-917.0728149414062,1385.576416015625,81.91375732421875,-113.64544677734443,23.96527099609375,-31.400695800781477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,5.0,-859.8424072265625,1304.362670898438,-916.9583129882812,1385.379028320312,81.1956787109375,-112.61444091796852,24.07977294921875,-31.598083496094432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,5.1,-860.5634155273438,1305.30029296875,-916.8726196289062,1385.25830078125,80.47467041015625,-111.67681884765648,24.16546630859375,-31.718811035156477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,5.2,-861.327880859375,1306.286376953125,-916.8308715820312,1385.150146484375,79.710205078125,-110.69073486328148,24.20721435546875,-31.826965332031477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,5.3,-862.0233764648438,1307.25634765625,-916.9484252929688,1385.298095703125,79.01470947265625,-109.72076416015648,24.08966064453125,-31.679016113281477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,5.4,-862.7119750976562,1308.237060546875,-917.0045776367188,1385.409790039062,78.32611083984375,-108.74005126953148,24.03350830078125,-31.567321777344432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,5.5,-863.5164794921875,1309.394409179688,-917.0447998046876,1385.496704101562,77.5216064453125,-107.58270263671852,23.993286132812386,-31.480407714844432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,5.6,-864.1488037109375,1310.381103515625,-917.0565795898438,1385.556762695312,76.8892822265625,-106.59600830078148,23.98150634765625,-31.420349121094432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,5.7,-864.8256225585938,1311.352294921875,-917.0867309570312,1385.63330078125,76.21246337890625,-105.62481689453148,23.95135498046875,-31.343811035156477,False,-941.0380859375,1416.9771118164065
