trial_id,subject_id,seat,segment_id,class,scenario_id,pair_id,mean_pre,count_pre,mean_post,count_post,delta_dial_z
P02B_T12,H0023,cp,S725,C,A1,P02,0.3746884186,20,-0.3157693178,20,-0.6904577364
P02B_T12,H0024,ego,S725,C,A1,P02,0.1270105396,20,-0.1901027468,20,-0.3171132864
P02B_T13,H0023,cp,S775,A,A7,P02,0.4698416191,20,1.260960857,20,0.791119238
P02B_T13,H0024,ego,S775,A,A7,P02,0.3932171783,20,0.801617178,20,0.4083999997
P02B_T14,H0023,cp,S281,W,B3,P02,0.5893681517,20,0.4861985131,20,-0.1031696387
P02B_T14,H0024,ego,S281,W,B3,P02,0.197751103,20,0.9403580132,20,0.7426069103
P02B_T15,H0023,cp,S447,C,C4,P02,0.3118289831,20,0.5469698345,20,0.2351408514
P02B_T15,H0024,ego,S447,C,C4,P02,0.5123896768,20,0.4076550134,20,-0.1047346634
P02B_T16,H0023,cp,S848,C,A1,P02,0.3372343716,20,0.6792530643,20,0.3420186928
P02B_T16,H0024,ego,S848,C,A1,P02,0.3220903184,20,0.4667583919,20,0.1446680736
P02B_T17,H0023,cp,S756,W,B4,P02,0.1699212272,20,0.4597130656,20,0.2897918383
P02B_T17,H0024,ego,S756,W,B4,P02,0.5135847819,20,0.824927763,20,0.3113429811
P03A_T03,H0025,ego,S389,C,C3,P03,0.600242895,20,1.05567581,20,0.4554329148
P03A_T03,H0026,cp,S389,C,C3,P03,0.4785618803,20,1.315409617,20,0.8368477364
P03A_T04,H0025,ego,S828,A,A5,P03,0.2411104883,20,1.780531673,20,1.539421184
P03A_T04,H0026,cp,S828,A,A5,P03,0.6557587055,20,2.119086377,20,1.463327672
P03A_T05,H0025,ego,S348,W,A6,P03,-0.09184182885,20,0.01908909024,20,0.1109309191
P03A_T05,H0026,cp,S348,W,A6,P03,0.05046966594,20,0.32593927,20,0.2754696041
P03A_T06,H0025,ego,S564,A,A5,P03,0.4955225364,20,1.506444667,20,1.010922131
P03A_T06,H0026,cp,S564,A,A5,P03,0.6490161478,20,2.127105205,20,1.478089057
P03A_T07,H0025,ego,S221,C,C1,P03,0.4107348854,20,1.043205594,20,0.6324707082
P03A_T07,H0026,cp,S221,C,C1,P03,0.3090467548,20,1.405675608,20,1.096628853
P03A_T08,H0025,ego,S291,W,A5,P03,0.2602453967,20,1.123918331,20,0.8636729347
P03A_T08,H0026,cp,S291,W,A5,P03,0.3320798137,20,0.9817011703,20,0.6496213566
P03A_T09,H0025,ego,S413,C,C2,P03,0.0838335689,20,0.466200345,20,0.3823667761
P03A_T09,H0026,cp,S413,C,C2,P03,0.08830023092,20,0.7816398502,20,0.6933396193
P03A_T10,H0025,ego,S265,C,C1,P03,0.558708238,20,0.5886195735,20,0.02991133545
P03A_T10,H0026,cp,S265,C,C1,P03,0.4839198057,20,1.16549607,20,0.6815762641
P03A_T12,H0025,ego,S489,A,A6,P03,0.4773940823,20,1.357992635,20,0.8805985529
P03A_T12,H0026,cp,S489,A,A6,P03,0.5382937176,20,1.765499426,20,1.227205708
P03A_T13,H0025,ego,S338,C,C2,P03,-0.04484531533,20,1.646157729,20,1.691003044
P03A_T13,H0026,cp,S338,C,C2,P03,0.3476358576,20,1.606591788,20,1.258955931
P03A_T14,H0025,ego,S486,W,A6,P03,0.09216750274,20,0.3502003321,20,0.2580328294
P03A_T14,H0026,cp,S486,W,A6,P03,0.0948742247,20,0.2325668857,20,0.137692661
P03A_T15,H0025,ego,S768,C,C3,P03,0.908316149,20,2.052838972,20,1.144522823
P03A_T15,H0026,cp,S768,C,C3,P03,0.797232015,20,1.497278071,20,0.7000460562
P03A_T16,H0025,ego,S511,A,A6,P03,0.6692341206,20,1.007856949,20,0.3386228288
P03A_T16,H0026,cp,S511,A,A6,P03,0.5081207718,20,1.356731863,20,0.8486110916
P03A_T17,H0025,ego,S378,W,A7,P03,0.5149888384,20,0.2983065585,20,-0.2166822799
P03A_T17,H0026,cp,S378,W,A7,P03,0.193977783,20,0.6459940371,20,0.452016254
P03B_T03,H0025,cp,S370,A,B2,P03,0.256956009,20,1.54191605,20,1.284960041
P03B_T03,H0026,ego,S370,A,B2,P03,0.08152155234,20,0.9426665771,20,0.8611450248
P03B_T04,H0025,cp,S938,C,A4,P03,0.8206073254,20,0.8485425734,20,0.02793524805
P03B_T04,H0026,ego,S938,C,A4,P03,0.314055512,20,0.8287534724,20,0.5146979603
P03B_T05,H0025,cp,S692,W,A2,P03,0.3007490516,20,0.9578287986,20,0.657079747
