pair_id,subject_id,seat,metric,contrast,difference
P06,H0031,ego,q2_yield_bipolar,C-W,-0.1
P06,H0032,ego,q2_yield_bipolar,C-W,0.8
P07,H0033,ego,q2_yield_bipolar,C-W,0.2
P07,H0034,ego,q2_yield_bipolar,C-W,0.03333333333
P08,H0035,ego,q2_yield_bipolar,C-W,1.533333333
P08,H0036,ego,q2_yield_bipolar,C-W,0.3666666667
P09,H0037,ego,q2_yield_bipolar,C-W,1.066666667
P09,H0038,ego,q2_yield_bipolar,C-W,-0.06666666667
P10,H0039,ego,q2_yield_bipolar,C-W,0.6666666667
P10,H0040,ego,q2_yield_bipolar,C-W,-0.3666666667
P11,H0041,ego,q2_yield_bipolar,C-W,0.8333333333
P11,H0042,ego,q2_yield_bipolar,C-W,-0.1333333333
P12,H0043,ego,q2_yield_bipolar,C-W,1.2
P12,H0044,ego,q2_yield_bipolar,C-W,0.8
P13,H0045,ego,q2_yield_bipolar,C-W,-0.2
P13,H0046,ego,q2_yield_bipolar,C-W,0.1333333333
P14,H0047,ego,q2_yield_bipolar,C-W,0.8
P14,H0048,ego,q2_yield_bipolar,C-W,1.2
P15,H0049,ego,q2_yield_bipolar,C-W,0.5
P15,H0050,ego,q2_yield_bipolar,C-W,-0.1666666667
P16,H0051,ego,q2_yield_bipolar,C-W,0.6333333333
P16,H0052,ego,q2_yield_bipolar,C-W,1.3
P17,H0053,ego,q2_yield_bipolar,C-W,0.6
P17,H0054,ego,q2_yield_bipolar,C-W,0.1
P18,H0055,ego,q2_yield_bipolar,C-W,-1.666666667
P18,H0056,ego,q2_yield_bipolar,C-W,0.2333333333
P19,H0057,ego,q2_yield_bipolar,C-W,1.133333333
P19,H0058,ego,q2_yield_bipolar,C-W,0.2666666667
P20,H0059,ego,q2_yield_bipolar,C-W,1.9
P20,H0060,ego,q2_yield_bipolar,C-W,-0.2
P01,H0021,ego,q2_yield_bipolar,A-C,-0.75
P01,H0022,ego,q2_yield_bipolar,A-C,-0.5833333333
P02,H0023,ego,q2_yield_bipolar,A-C,0.8333333333
P02,H0024,ego,q2_yield_bipolar,A-C,-0.25
P03,H0025,ego,q2_yield_bipolar,A-C,-2
