area,area_rank,team_code,official_name,session_id,file_role,bytes,source_relative_path,subset_relative_path,storage_mode
shanghai,2,T6,thicv2025,,diagnosis_pdf,4023858,上海赛区/清华&贵州大学_thicv2025/清华&贵州大学_thicv2025.pdf,teams/shanghai/02_T6_thicv2025/support_materials/清华&贵州大学_thicv2025.pdf,hardlink
shanghai,2,T6,thicv2025,6921-1766196941,replay_log,404726,上海赛区/清华&贵州大学_thicv2025/6921-1766196941/monitor.log,teams/shanghai/02_T6_thicv2025/sessions/6921-1766196941/monitor.log,hardlink
shanghai,2,T6,thicv2025,6921-1766196941,replay_log,64364371,上海赛区/清华&贵州大学_thicv2025/6921-1766196941/simulation_trajectory.log,teams/shanghai/02_T6_thicv2025/sessions/6921-1766196941/simulation_trajectory.log,hardlink
shanghai,2,T6,thicv2025,6921-1766196941,replay_log,50814452,上海赛区/清华&贵州大学_thicv2025/6921-1766196941/vehicle_perception_simulation_trajectory.log,teams/shanghai/02_T6_thicv2025/sessions/6921-1766196941/vehicle_perception_simulation_trajectory.log,hardlink
shanghai,2,T6,thicv2025,6921-1766196941,replay_log,3878812,上海赛区/清华&贵州大学_thicv2025/6921-1766196941/vehicle_trajectory.log,teams/shanghai/02_T6_thicv2025/sessions/6921-1766196941/vehicle_trajectory.log,hardlink
shanghai,3,T5,limitless,,diagnosis_pdf,4167402,上海赛区/江苏大学_测试无极限/江苏大学_测试无极限.pdf,teams/shanghai/03_T5_limitless/support_materials/江苏大学_测试无极限.pdf,hardlink
shanghai,3,T5,limitless,6925-1766198568,replay_log,613697,上海赛区/江苏大学_测试无极限/6925-1766198568/monitor.log,teams/shanghai/03_T5_limitless/sessions/6925-1766198568/monitor.log,hardlink
shanghai,3,T5,limitless,6925-1766198568,replay_log,86487098,上海赛区/江苏大学_测试无极限/6925-1766198568/simulation_trajectory.log,teams/shanghai/03_T5_limitless/sessions/6925-1766198568/simulation_trajectory.log,hardlink
shanghai,3,T5,limitless,6925-1766198568,replay_log,71449037,上海赛区/江苏大学_测试无极限/6925-1766198568/vehicle_perception_simulation_trajectory.log,teams/shanghai/03_T5_limitless/sessions/6925-1766198568/vehicle_perception_simulation_trajectory.log,hardlink
shanghai,3,T5,limitless,6925-1766198568,replay_log,71820895,上海赛区/江苏大学_测试无极限/6925-1766198568/vehicle_perception_trajectory.log,teams/shanghai/03_T5_limitless/sessions/6925-1766198568/vehicle_perception_trajectory.log,hardlink
shanghai,3,T5,limitless,6925-1766198568,replay_log,5529491,上海赛区/江苏大学_测试无极限/6925-1766198568/vehicle_trajectory.log,teams/shanghai/03_T5_limitless/sessions/6925-1766198568/vehicle_trajectory.log,hardlink
