area,area_dir,team_dir,team_code,session_id,file_role,suffix,bytes,relative_path,mtime
shanghai,上海赛区,同济大学_tiev-plus,T10,6933-1766207438,replay_log,.log,4167116,上海赛区/同济大学_tiev-plus/6933-1766207438/vehicle_trajectory.log,2026-06-18T17:18:43
shanghai,上海赛区,同济大学_tiev-plus,T10,6948-1766217297,replay_log,.log,1392728,上海赛区/同济大学_tiev-plus/6948-1766217297/monitor.log,2026-06-18T17:18:42
shanghai,上海赛区,同济大学_tiev-plus,T10,6948-1766217297,replay_log,.log,79485052,上海赛区/同济大学_tiev-plus/6948-1766217297/simulation_trajectory.log,2026-06-18T17:18:43
shanghai,上海赛区,同济大学_tiev-plus,T10,6948-1766217297,replay_log,.log,64786180,上海赛区/同济大学_tiev-plus/6948-1766217297/vehicle_perception_simulation_trajectory.log,2026-06-18T17:18:43
shanghai,上海赛区,同济大学_tiev-plus,T10,6948-1766217297,replay_log,.log,77503774,上海赛区/同济大学_tiev-plus/6948-1766217297/vehicle_perception_trajectory.log,2026-06-18T17:18:43
shanghai,上海赛区,同济大学_tiev-plus,T10,6948-1766217297,replay_log,.log,7135339,上海赛区/同济大学_tiev-plus/6948-1766217297/vehicle_trajectory.log,2026-06-18T17:18:42
shanghai,上海赛区,同济大学_tiev-plus,T10,,video,.mp4,855420383,上海赛区/同济大学_tiev-plus/tiev_plus_20251220_131048.mp4,2025-12-24T10:08:16
shanghai,上海赛区,同济大学_tiev-plus,T10,,video,.mp4,2626042494,上海赛区/同济大学_tiev-plus/tiev_plus重赛_20251220_155508.mp4,2025-12-24T10:15:57
shanghai,上海赛区,同济大学_tiev-plus,T10,,diagnosis_pdf,.pdf,4718661,上海赛区/同济大学_tiev-plus/同济大学.pdf,2025-12-24T10:16:09
shanghai,上海赛区,同济大学_tiev-plus,T10,,replay_zip,.zip,27668107,上海赛区/同济大学_tiev-plus/同济大学_tiev-plus6948-1766217297.zip,2025-12-24T10:15:21
shanghai,上海赛区,同济大学_tiev-plus,T10,,replay_zip,.zip,17965299,上海赛区/同济大学_tiev-plus/同济大学_tiev-plus_6933-1766207438.zip,2025-12-24T10:15:24
shanghai,上海赛区,武汉理工大学_WUT_FSD,T11,,hidden_metadata,,10244,上海赛区/武汉理工大学_WUT_FSD/.DS_Store,2026-06-18T15:45:24
shanghai,上海赛区,武汉理工大学_WUT_FSD,T11,6923-1766197775,replay_log,.log,324363,上海赛区/武汉理工大学_WUT_FSD/6923-1766197775/monitor.log,2025-12-20T10:37:08
shanghai,上海赛区,武汉理工大学_WUT_FSD,T11,6923-1766197775,replay_log,.log,51634277,上海赛区/武汉理工大学_WUT_FSD/6923-1766197775/simulation_trajectory.log,2025-12-20T10:37:10
shanghai,上海赛区,武汉理工大学_WUT_FSD,T11,6923-1766197775,replay_log,.log,37014224,上海赛区/武汉理工大学_WUT_FSD/6923-1766197775/vehicle_perception_simulation_trajectory.log,2025-12-20T10:37:11
shanghai,上海赛区,武汉理工大学_WUT_FSD,T11,6923-1766197775,replay_log,.log,3279587,上海赛区/武汉理工大学_WUT_FSD/6923-1766197775/vehicle_trajectory.log,2025-12-20T10:37:09
